elapsed_s,phase,rot_x_100,rot_y_100,lin_x_100,lin_y_100,pen,bias_z_100,num_fields,line_kind,raw
0.005224,0,0.10,0.04,-51.23,-128.00,0,938.50,6,imu,"0.10,0.04,-51.23,-128.00,0,938.50"
0.017947,0,-1.00,2.00,-44.41,-134.47,0,938.50,6,imu,"-1.00,2.00,-44.41,-134.47,0,938.50"
0.030683,0,-0.88,3.34,-50.52,-131.83,0,938.50,6,imu,"-0.88,3.34,-50.52,-131.83,0,938.50"
0.040807,0,,,,,,,3,text,"-1.37,3.22,-38."
0.043390,0,,,,,,,4,text,"55,-128.00,0,938.50"
0.052776,0,,,,,,,4,text,"-2.10,2.73,-40.23,-"
0.055398,0,,,,,,,3,text,"135.42,0,938.50"
0.065651,0,-1.37,4.20,-63.44,-131.12,0,938.50,6,imu,"-1.37,4.20,-63.44,-131.12,0,938.50"
0.078086,0,-0.88,5.42,-74.20,-131.00,0,938.50,6,imu,"-0.88,5.42,-74.20,-131.00,0,938.50"
0.090906,0,-0.39,5.18,-35.44,-140.69,0,938.50,6,imu,"-0.39,5.18,-35.44,-140.69,0,938.50"
0.101159,0,0.47,0.29,-26.59,-146.43,0,938.50,6,imu,"0.47,0.29,-26.59,-146.43,0,938.50"
0.113739,0,0.35,0.53,-29.46,-134.35,0,938.50,6,imu,"0.35,0.53,-29.46,-134.35,0,938.50"
0.126559,0,-1.85,6.03,-31.97,-135.30,0,938.50,6,imu,"-1.85,6.03,-31.97,-135.30,0,938.50"
0.136726,0,,,,,,,2,text,"-1.73,8.47"
0.139395,0,,,,,,,5,text,",-48.48,-139.73,0,938.50"
0.149641,0,-0.75,7.74,-67.03,-129.20,0,938.50,6,imu,"-0.75,7.74,-67.03,-129.20,0,938.50"
0.162438,0,-0.51,7.37,-75.64,-126.93,0,938.50,6,imu,"-0.51,7.37,-75.64,-126.93,0,938.50"
0.175353,0,-1.24,3.95,-57.46,-123.94,0,938.50,6,imu,"-1.24,3.95,-57.46,-123.94,0,938.50"
0.185499,0,-1.12,3.22,-52.31,-131.47,0,938.50,6,imu,"-1.12,3.22,-52.31,-131.47,0,938.50"
0.198218,0,-1.24,3.83,-49.32,-125.49,0,938.50,6,imu,"-1.24,3.83,-49.32,-125.49,0,938.50"
0.211109,0,-3.20,5.91,-20.37,-129.32,0,938.50,6,imu,"-3.20,5.91,-20.37,-129.32,0,938.50"
0.221650,0,-3.32,6.89,-19.89,-131.35,0,938.50,6,imu,"-3.32,6.89,-19.89,-131.35,0,938.50"
0.234688,0,-3.08,7.37,-37.71,-126.81,0,938.50,6,imu,"-3.08,7.37,-37.71,-126.81,0,938.50"
0.244743,0,,,,,,,2,text,"-2.95,"
