elapsed_s,phase,rot_x_100,rot_y_100,lin_x_100,lin_y_100,pen,bias_z_100,num_fields,line_kind,raw
0.183562,0,0.71,1.51,-41.18,-62.80,0,938.50,6,imu,"0.71,1.51,-41.18,-62.80,0,938.50"
0.196254,0,0.83,2.61,-38.79,-63.88,0,938.50,6,imu,"0.83,2.61,-38.79,-63.88,0,938.50"
0.209134,0,0.71,2.12,-32.21,-60.29,0,938.50,6,imu,"0.71,2.12,-32.21,-60.29,0,938.50"
0.221539,0,0.35,2.73,-35.32,-69.14,0,938.50,6,imu,"0.35,2.73,-35.32,-69.14,0,938.50"
0.231849,0,1.44,3.71,-52.55,-73.93,0,938.50,6,imu,"1.44,3.71,-52.55,-73.93,0,938.50"
0.244363,0,1.44,5.54,-47.29,-77.52,0,938.50,6,imu,"1.44,5.54,-47.29,-77.52,0,938.50"
0.257375,0,1.69,6.15,-32.21,-70.82,0,938.50,6,imu,"1.69,6.15,-32.21,-70.82,0,938.50"
0.267941,0,0.96,8.11,-26.11,-64.48,0,938.50,6,imu,"0.96,8.11,-26.11,-64.48,0,938.50"
0.280999,0,0.83,9.33,-26.35,-63.40,0,938.50,6,imu,"0.83,9.33,-26.35,-63.40,0,938.50"
0.291564,0,1.32,9.09,-23.84,-47.85,0,938.50,6,imu,"1.32,9.09,-23.84,-47.85,0,938.50"
